"","mean","se_mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","n_eff","Rhat"
"y_rep[3,24]",0.272091290274598,0.000559635918333853,0.0352937588243891,0.205286704330845,0.247913242380386,0.271548318626859,0.296217437706006,0.341640776404752,3977.2662641624,1.00088591870043
"y_rep[3,25]",0.278193184728933,0.000580312722491128,0.0353139104205866,0.208156665858248,0.254664050709557,0.277862836395315,0.302251602090706,0.348253968392984,3703.1170374052,1.00088803768866
"y_rep[3,26]",0.285275945085754,0.000574432590622822,0.0359524662743082,0.214085300999542,0.261132574053904,0.285056816182934,0.309799847255799,0.354108775860288,3917.2314403596,1.00035390716133
"y_rep[3,27]",0.290823706354737,0.0006161893880894,0.0365763048474135,0.219558355605831,0.266134499212928,0.290724736675256,0.315420248166831,0.361680626663285,3523.47526742691,0.999338790943524
"y_rep[4,1]",0.132729979997079,0.000517526740416202,0.0332448918896667,0.0674815850957674,0.110695632905801,0.132551706811322,0.154605493817495,0.196937687397596,4126.52291270984,0.999469802705056
"y_rep[4,2]",0.150060186101012,0.000525098992673901,0.0331697537067432,0.0836155917438592,0.128411947184779,0.150058917718626,0.17230067709115,0.213918450043492,3990.26853204181,0.999754179343949
"y_rep[4,3]",0.168237608870045,0.000516600088292535,0.0329552664607903,0.104293178067421,0.14640924327107,0.168009484064687,0.190809421498692,0.2327930732581,4069.49672074322,0.99930005697108
"y_rep[4,4]",0.199002894266461,0.000510373979307766,0.0326074876276501,0.135328528760588,0.177078377406746,0.19951249889095,0.220451091758018,0.264652513351411,4081.85551099017,0.99924652637367
"y_rep[4,5]",0.235373311086862,0.00052072589184854,0.0328800830547162,0.169545468828868,0.213655095613861,0.234859789536681,0.257305102959372,0.300591755457236,3987.01130284085,1.0001627003487
"y_rep[4,6]",0.260108388280894,0.000535168859187989,0.0327721247410677,0.197094542105897,0.237428573157368,0.260277228894496,0.282535598446305,0.325879844782253,3749.96772280442,1.00015156512762
"y_rep[4,7]",0.303924939126384,0.00053183195450963,0.0328520076899518,0.240262223022215,0.281313293818617,0.303245906438268,0.326518726836146,0.368648335706981,3815.70662341376,1.00010191721944
"y_rep[4,8]",0.336542730041946,0.000543423036819949,0.0340213103654595,0.270666669876291,0.314089424573603,0.336884843615702,0.359329901972963,0.403519703650149,3919.45771626879,0.999771130810093
"y_rep[4,9]",0.369674612818994,0.000533823573290969,0.0337289643318875,0.302414201055836,0.346576607144232,0.3703035137204,0.392526837584106,0.435694755592677,3992.18369160224,0.99997143620283
"y_rep[4,10]",0.40469614359055,0.000538680922470098,0.0332629349671669,0.336522203001778,0.382773845503595,0.404955501771495,0.42685984401307,0.469128802286962,3812.92219294861,0.999580164429225
